hour,day_ahead_price_eur_mwh,solar_generation_mw,solar_direct_export_mw,solar_charged_to_bess_mw,bess_discharge_export_mw,bess_soc_mwh,total_grid_export_mw,grid_limit_mw,clipped_solar_mw,hourly_revenue_eur
0,55.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
1,48.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
2,45.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
3,42.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
4,46.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
5,58.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
6,75.0,4.45,2.98,1.47,0.0,1.39,2.98,10.0,0.0,223.59
7,88.0,8.68,8.68,0.0,1.32,0.0,10.0,10.0,0.0,880.0
8,65.0,12.47,5.5,5.0,4.5,0.0,10.0,10.0,1.97,650.0
9,40.0,15.64,10.0,0.0,-0.0,0.0,10.0,10.0,5.64,400.0
10,15.0,18.02,10.0,0.0,-0.0,0.0,10.0,10.0,8.02,150.0
11,-5.0,19.5,0.0,0.0,0.0,0.0,0.0,10.0,19.5,-0.0
12,-12.0,20.0,0.0,0.0,0.0,-0.0,0.0,10.0,20.0,-0.0
13,8.0,19.5,10.0,0.0,-0.0,0.0,10.0,10.0,9.5,80.0
14,30.0,18.02,10.0,3.35,0.0,3.18,10.0,10.0,4.67,300.0
15,60.0,15.64,10.0,5.0,0.0,7.92,10.0,10.0,0.64,600.0
16,95.0,12.47,7.47,5.0,2.53,10.0,10.0,10.0,0.0,950.0
17,135.0,8.68,8.68,0.0,1.32,8.61,10.0,10.0,0.0,1350.0
18,145.0,4.45,4.45,0.0,5.0,3.34,9.45,10.0,0.0,1370.31
19,120.0,0.0,-0.0,0.0,3.16,-0.0,3.16,10.0,0.0,379.74
20,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
21,75.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
22,65.0,0.0,0.0,-0.0,0.0,-0.0,0.0,10.0,0.0,0.0
23,58.0,0.0,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0
